time,altitude,acc_x,vel_x,roll,pitch,yaw
0.020000,1335.914185,9.550808,2.697754,-0.189530,-0.017275,0.002954
0.040000,1335.911743,9.554361,-0.122070,-0.283761,-0.026121,0.004630
0.060000,1335.924316,9.558779,0.628662,-0.378276,-0.034940,0.006205
0.080000,1335.974365,9.567054,2.502441,-0.473051,-0.043858,0.007912
0.100000,1335.982544,9.565478,0.408936,-0.567403,-0.052809,0.009631
0.120000,1336.010498,9.562498,1.397705,-0.660904,-0.061754,0.011362
0.140000,1336.029053,9.568179,0.927734,-0.753067,-0.070659,0.012993
0.160000,1336.098389,9.571108,3.466797,-0.843996,-0.079659,0.014758
0.180000,1336.091675,9.570740,-0.335693,-0.934119,-0.088672,0.016425
0.200000,1336.115601,9.574995,1.196289,-1.023289,-0.097730,0.018001
0.220000,1336.129150,9.575848,0.677490,-1.111453,-0.106928,0.019608
0.240000,1336.149048,9.575100,0.994873,-1.198818,-0.116176,0.021245
0.260000,1336.166016,9.576710,0.848389,-1.285771,-0.126647,0.023026
0.280000,1336.155518,9.577807,-0.524902,-1.373229,-0.137091,0.024831
0.300000,1336.083008,9.576903,-3.625488,-1.461505,-0.148069,0.026660
0.320000,1336.098267,9.578369,0.762939,-1.550629,-0.160087,0.028405
0.340000,1336.137207,9.580866,1.947021,-1.640557,-0.172923,0.030183
0.360000,1336.148804,9.580482,0.579834,-1.730763,-0.185572,0.032107
0.380000,1336.126953,9.581661,-1.092529,-1.821668,-0.197961,0.034056
0.400000,1336.128418,9.583511,0.073242,-1.913243,-0.209964,0.036028
0.420000,1336.108154,9.582916,-1.013184,-2.004737,-0.221638,0.038136
0.440000,1336.114746,9.582752,0.329590,-2.096508,-0.233025,0.040258
0.460000,1336.147461,9.586047,1.635742,-2.187974,-0.244254,0.042392
0.480000,1336.174805,9.585632,1.367188,-2.278484,-0.255250,0.044649
0.500000,1336.174805,9.583719,0.000000,-2.368450,-0.266147,0.046910
0.520000,1336.210083,9.587702,1.763916,-2.457570,-0.276879,0.049176
0.540000,1336.162109,9.587154,-2.398682,-2.545810,-0.287517,0.051447
0.560000,1336.185547,9.586268,1.171875,-2.633562,-0.298028,0.053614
0.580000,1336.198486,9.587750,0.646973,-2.720760,-0.308500,0.055912
0.600000,1336.160400,9.588348,-1.904297,-2.807441,-0.318852,0.058219
0.620000,1336.174927,9.587367,0.726318,-2.894203,-0.329116,0.060653
0.640000,1336.157593,9.589144,-0.866699,-2.981155,-0.339382,0.063094
0.660000,1336.206055,9.591544,2.423096,-3.068613,-0.349677,0.065658
0.680000,1336.236938,9.589541,1.544189,-3.156549,-0.359806,0.068221
0.700000,1336.215210,9.589613,-1.086426,-3.244355,-0.369836,0.070786
0.720000,1336.233887,9.590827,0.933838,-3.332155,-0.379883,0.073354
0.740000,1336.237549,9.591179,0.183105,-3.420071,-0.389883,0.075925
0.760000,1336.259888,9.590354,1.116943,-3.508083,-0.399777,0.078502
0.780000,1336.230347,9.593806,-1.477051,-3.596076,-0.409547,0.081197
0.800000,1336.250610,9.592771,1.013184,-3.683825,-0.419330,0.083890
0.820000,1336.270020,9.593349,0.970459,-3.771345,-0.429136,0.086695
0.840000,1336.237305,9.594647,-1.635742,-3.858778,-0.438797,0.089491
0.860000,1336.252197,9.595459,0.744629,-3.946898,-0.449073,0.092404
0.880000,1336.258789,9.594292,0.329590,-4.035982,-0.460272,0.095319
0.900000,1336.245728,9.596280,-0.653076,-4.125751,-0.472320,0.098230
0.920000,1336.294678,9.595047,2.447510,-4.216025,-0.484418,0.101253
0.940000,1336.288574,9.594296,-0.305176,-4.307101,-0.497233,0.104161
0.960000,1336.282593,9.596284,-0.299072,-4.397797,-0.510118,0.106954
0.980000,1336.294800,9.597347,0.610352,-4.487576,-0.522645,0.109750
1.000000,1336.339722,9.595646,2.246094,-4.577070,-0.534976,0.112558
1.020000,1336.391968,9.598675,2.612305,-4.665854,-0.547121,0.115374
1.040000,1336.400757,9.600696,0.439453,-4.754091,-0.558995,0.118201
1.060000,1336.435669,9.598344,1.745605,-4.842162,-0.570724,0.121155
1.080000,1336.458252,9.595797,1.129150,-4.930181,-0.582273,0.124122
1.100000,1336.436157,9.599196,-1.104736,-5.018830,-0.593717,0.127106
1.120000,1336.476074,9.595816,1.995850,-5.108626,-0.605022,0.130109
1.140000,1336.490479,9.595386,0.720215,-5.199143,-0.616073,0.133129
1.160000,1336.446655,9.595756,-2.191162,-5.289872,-0.626911,0.136164
1.180000,1336.501343,9.596478,2.734375,-5.380579,-0.637492,0.139205
1.200000,1336.527466,9.591784,1.306152,-5.470806,-0.648018,0.142256
1.220000,1336.526001,9.593973,-0.073242,-5.560940,-0.658305,0.145314
1.240000,1336.558594,9.592924,1.629639,-5.650757,-0.668525,0.148495
1.260000,1336.593018,9.592342,1.721191,-5.740156,-0.678750,0.151570
1.280000,1336.621582,9.594487,1.428223,-5.829408,-0.688897,0.154657
1.300000,1336.655518,9.594163,1.696777,-5.918402,-0.698927,0.157875
1.320000,1336.670288,9.592334,0.738525,-6.007050,-0.708922,0.161096
1.340000,1336.633667,9.594479,-1.831055,-6.095155,-0.718885,0.164096
1.360000,1336.669922,9.595304,1.812744,-6.182761,-0.728821,0.167119
1.380000,1336.648193,9.594531,-1.086426,-6.269575,-0.738592,0.170156
1.400000,1336.667969,9.596500,0.988770,-6.355313,-0.748373,0.173209
1.420000,1336.658813,9.594867,-0.457764,-6.440071,-0.758122,0.176273
1.440000,1336.652710,9.594130,-0.305176,-6.523575,-0.767804,0.179352
1.460000,1336.669067,9.592686,0.817871,-6.606587,-0.777345,0.182460
1.480000,1336.678101,9.594037,0.451660,-6.690275,-0.786842,0.185608
1.500000,1336.679688,9.593749,0.079346,-6.775587,-0.797106,0.188814
1.520000,1336.681641,9.593866,0.097656,-6.862403,-0.808226,0.192179
1.540000,1336.670898,9.596655,-0.537109,-6.950823,-0.820286,0.195701
1.560000,1336.657227,9.595391,-0.683594,-7.041285,-0.832119,0.199257
1.580000,1336.663696,9.594229,0.323486,-7.132627,-0.843703,0.202827
1.600000,1336.636597,9.597754,-1.354980,-7.224545,-0.854977,0.206300
1.620000,1336.641846,9.595636,0.262451,-7.315874,-0.866081,0.209893
1.640000,1336.600708,9.594071,-2.056885,-7.406434,-0.876924,0.213485
1.660000,1336.596069,9.595695,-0.231934,-7.495621,-0.887477,0.217171
1.680000,1336.577759,9.595656,-0.915527,-7.583187,-0.897887,0.220844
1.700000,1336.571533,9.596004,-0.311279,-7.670043,-0.908279,0.224519
1.720000,1336.536499,9.597857,-1.751709,-7.755923,-0.918592,0.228071
1.740000,1336.546631,9.596498,0.506592,-7.841229,-0.928754,0.231746
1.760000,1336.522705,9.593716,-1.196289,-7.926563,-0.938694,0.235436
1.780000,1336.546143,9.595367,1.171875,-8.011596,-0.948614,0.239132
1.800000,1336.569336,9.592676,1.159668,-8.096786,-0.958534,0.242845
1.820000,1336.564697,9.589817,-0.231934,-8.182584,-0.968310,0.246579
1.840000,1336.525024,9.591781,-1.983643,-8.268817,-0.977965,0.250221
1.860000,1336.535522,9.593587,0.524902,-8.356011,-0.987502,0.254015
1.880000,1336.524780,9.593335,-0.537109,-8.443538,-0.996904,0.257937
1.900000,1336.526733,9.591954,0.097656,-8.531363,-1.006069,0.261978
1.920000,1336.482910,9.594895,-2.191162,-8.619691,-1.015122,0.266134
1.940000,1336.457764,9.593773,-1.257324,-8.707585,-1.024176,0.270157
1.960000,1336.472290,9.592740,0.726318,-8.794858,-1.033099,0.274163
1.980000,1336.435913,9.591407,-1.818848,-8.881221,-1.042033,0.278153
2.000000,1336.420898,9.590946,-0.750732,-8.965500,-1.051026,0.282112
2.020000,1336.411621,9.592053,-0.463867,-9.048414,-1.060258,0.285954
2.040000,1336.442139,9.591541,1.525879,-9.131085,-1.069547,0.289813
2.060000,1336.473389,9.591836,1.562500,-9.214644,-1.079495,0.293720
2.080000,1336.458496,9.593255,-0.744629,-9.300704,-1.090493,0.297819
2.100000,1336.462646,9.594944,0.207520,-9.389184,-1.100867,0.301963
2.120000,1336.461914,9.595349,-0.036621,-9.479441,-1.111270,0.306152
2.140000,1336.446655,9.593807,-0.762939,-9.571563,-1.122342,0.310386
2.160000,1336.429077,9.593155,-0.878906,-9.663722,-1.133216,0.314624
2.180000,1336.399658,9.595235,-1.470947,-9.755015,-1.143815,0.318851
2.200000,1336.414795,9.594085,0.756836,-9.845510,-1.154264,0.323069
2.220000,1336.416260,9.596090,0.073242,-9.934245,-1.164554,0.327386
2.240000,1336.414429,9.594489,-0.091553,-10.021914,-1.174857,0.331704
2.260000,1336.456421,9.592251,2.099609,-10.109283,-1.184972,0.336023
2.280000,1336.488159,9.591722,1.586914,-10.196824,-1.194962,0.340475
2.300000,1336.506592,9.593534,0.921631,-10.285852,-1.204824,0.344967
2.320000,1336.560181,9.592520,2.679443,-10.375823,-1.214467,0.349470
2.340000,1336.600220,9.591205,2.001953,-10.465990,-1.223935,0.353976
2.360000,1336.635864,9.590378,1.782227,-10.556672,-1.233190,0.358484
2.380000,1336.669312,9.592297,1.672363,-10.646814,-1.242427,0.362985
2.400000,1336.685791,9.592530,0.823975,-10.736336,-1.251812,0.367490
2.420000,1336.724731,9.591980,1.947021,-10.825520,-1.261105,0.372094
2.440000,1336.801636,9.591091,3.845215,-10.913382,-1.270296,0.376675
2.460000,1336.782715,9.592187,-0.946045,-11.000243,-1.279517,0.381242
2.480000,1336.791748,9.591664,0.451660,-11.086292,-1.288759,0.385799
2.500000,1336.809326,9.591183,0.878906,-11.171816,-1.298021,0.390355
2.520000,1336.767090,9.592654,-2.111816,-11.257308,-1.307067,0.395031
2.540000,1336.808716,9.597071,2.081299,-11.342760,-1.316068,0.399717
